month,relative.value,variable,site,ref,year.start,year.end,trophic.grp,notes,data.entered.by,,
3,5,snail biomass,San Juan Islands,Nelson et al,1990,1991,grazer,,MO,,
4,5,snail biomass,San Juan Islands,Nelson et al,1990,1991,grazer,,MO,,
5,5,snail biomass,San Juan Islands,Nelson et al,1990,1991,grazer,,MO,,
6,5,snail biomass,San Juan Islands,Nelson et al,1990,1991,grazer,,MO,,
7,5,snail biomass,San Juan Islands,Nelson et al,1990,1991,grazer,,MO,,
8,5,snail biomass,San Juan Islands,Nelson et al,1990,1991,grazer,,MO,,
9,5,snail biomass,San Juan Islands,Nelson et al,1990,1991,grazer,,MO,,
10,5,snail biomass,San Juan Islands,Nelson et al,1990,1991,grazer,,MO,,
11,5,snail biomass,San Juan Islands,Nelson et al,1990,1991,grazer,,MO,,
12,5,snail biomass,San Juan Islands,Nelson et al,1990,1991,grazer,,MO,,
1,,epiphyte biomass,Goodwin Islands,Douglass et al,2004,2006,epiphytes,,MO,,
2,,epiphyte biomass,Goodwin Islands,Douglass et al,2004,2006,epiphytes,,MO,,
3,1,epiphyte biomass,Goodwin Islands,Douglass et al,2004,2006,epiphytes,,MO,,
4,1,epiphyte biomass,Goodwin Islands,Douglass et al,2004,2006,epiphytes,,MO,,
5,1,epiphyte biomass,Goodwin Islands,Douglass et al,2004,2006,epiphytes,,MO,,
6,4,epiphyte biomass,Goodwin Islands,Douglass et al,2004,2006,epiphytes,,MO,,
7,4,epiphyte biomass,Goodwin Islands,Douglass et al,2004,2006,epiphytes,,MO,,
8,4,epiphyte biomass,Goodwin Islands,Douglass et al,2004,2006,epiphytes,,MO,,
9,10,epiphyte biomass,Goodwin Islands,Douglass et al,2004,2006,epiphytes,,MO,,
10,10,epiphyte biomass,Goodwin Islands,Douglass et al,2004,2006,epiphytes,,MO,,
11,4,epiphyte biomass,Goodwin Islands,Douglass et al,2004,2006,epiphytes,,MO,,
12,1,epiphyte biomass,Goodwin Islands,Douglass et al,2004,2006,epiphytes,,MO,,
1,2,shoot density,Padilla Bay,Thom 1994,1989,1990,seagrass,,MO,,
2,,shoot density,Padilla Bay,Thom 1994,1989,1990,seagrass,,MO,,
3,,shoot density,Padilla Bay,Thom 1994,1989,1990,seagrass,,MO,,
4,10,shoot density,Padilla Bay,Thom 1994,1989,1990,seagrass,,MO,,
5,8,shoot density,Padilla Bay,Thom 1994,1989,1990,seagrass,,MO,,
6,,shoot density,Padilla Bay,Thom 1994,1989,1990,seagrass,,MO,,
7,10,shoot density,Padilla Bay,Thom 1994,1989,1990,seagrass,,MO,,
8,,shoot density,Padilla Bay,Thom 1994,1989,1990,seagrass,,MO,,
9,,shoot density,Padilla Bay,Thom 1994,1989,1990,seagrass,,MO,,
10,8,shoot density,Padilla Bay,Thom 1994,1989,1990,seagrass,,MO,,
11,10,shoot density,Padilla Bay,Thom 1994,1989,1990,seagrass,,MO,,
12,7,shoot density,Padilla Bay,Thom 1994,1989,1990,seagrass,,MO,,
1,9,snail density,Padilla Bay,Thom 1994,1989,1990,grazer,,MO,,
2,,snail density,Padilla Bay,Thom 1994,1989,1990,grazer,,MO,,
3,,snail density,Padilla Bay,Thom 1994,1989,1990,grazer,,MO,,
4,4,snail density,Padilla Bay,Thom 1994,1989,1990,grazer,,MO,,
5,3,snail density,Padilla Bay,Thom 1994,1989,1990,grazer,,MO,,
6,,snail density,Padilla Bay,Thom 1994,1989,1990,grazer,,MO,,
7,6,snail density,Padilla Bay,Thom 1994,1989,1990,grazer,,MO,,
8,,snail density,Padilla Bay,Thom 1994,1989,1990,grazer,,MO,,
9,,snail density,Padilla Bay,Thom 1994,1989,1990,grazer,,MO,,
10,8,snail density,Padilla Bay,Thom 1994,1989,1990,grazer,,MO,,
11,9,snail density,Padilla Bay,Thom 1994,1989,1990,grazer,,MO,,
12,10,snail density,Padilla Bay,Thom 1994,1989,1990,grazer,,MO,,
1,2,seagrass shoot biomass,"Odawa Bay, Japan",Aioi 1980,1975,1976,seagrass,,MO,,
2,,seagrass shoot biomass,"Odawa Bay, Japan",Aioi 1980,1975,1976,seagrass,,MO,,
3,,seagrass shoot biomass,"Odawa Bay, Japan",Aioi 1980,1975,1976,seagrass,,MO,,
4,10,seagrass shoot biomass,"Odawa Bay, Japan",Aioi 1980,1975,1976,seagrass,,MO,,
5,10,seagrass shoot biomass,"Odawa Bay, Japan",Aioi 1980,1975,1976,seagrass,,MO,,
6,,seagrass shoot biomass,"Odawa Bay, Japan",Aioi 1980,1975,1976,seagrass,,MO,,
7,,seagrass shoot biomass,"Odawa Bay, Japan",Aioi 1980,1975,1976,seagrass,,MO,,
8,,seagrass shoot biomass,"Odawa Bay, Japan",Aioi 1980,1975,1976,seagrass,,MO,,
9,,seagrass shoot biomass,"Odawa Bay, Japan",Aioi 1980,1975,1976,seagrass,,MO,,
10,,seagrass shoot biomass,"Odawa Bay, Japan",Aioi 1980,1975,1976,seagrass,,MO,,
11,,seagrass shoot biomass,"Odawa Bay, Japan",Aioi 1980,1975,1976,seagrass,,MO,,
12,2,seagrass shoot biomass,"Odawa Bay, Japan",Aioi 1980,1975,1976,seagrass,,MO,,
1,,isopod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
2,,isopod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
3,,isopod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
4,,isopod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
5,5.107526882,isopod density,Tsawwassen,ZEN,2012,,grazer,check that ZEN sampling unit was same as sarah's. I think it was.,MO,,
6,6.451612903,isopod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
7,6.451612903,isopod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
8,10,isopod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
9,,isopod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
10,,isopod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
11,,isopod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
12,,isopod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
1,,grastropod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
2,,grastropod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
3,,grastropod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
4,,grastropod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
5,10,grastropod density,Tsawwassen,ZEN,2012,,grazer,check that ZEN sampling unit was same as sarah's. I think it was.,MO,,
6,2.813504823,grastropod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
7,1.988745981,grastropod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
8,1.58681672,grastropod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
9,,grastropod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
10,,grastropod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
11,,grastropod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
12,,grastropod density,Tsawwassen,Sarah Amundrud,2012,,grazer,,MO,,
1,,shoot density,Tsawwassen,Sarah Amundrud,2012,,seagrass,,MO,,
2,,shoot density,Tsawwassen,Sarah Amundrud,2012,,seagrass,,MO,,
3,,shoot density,Tsawwassen,Sarah Amundrud,2012,,seagrass,,MO,,
4,,shoot density,Tsawwassen,Sarah Amundrud,2012,,seagrass,,MO,,
5,4.615384615,shoot density,Tsawwassen,ZEN,2012,,seagrass,,MO,,
6,10,shoot density,Tsawwassen,Sarah Amundrud,2012,,seagrass,,MO,,
7,10,shoot density,Tsawwassen,Sarah Amundrud,2012,,seagrass,,MO,,
8,9.307692308,shoot density,Tsawwassen,Sarah Amundrud,2012,,seagrass,,MO,,
9,,shoot density,Tsawwassen,Sarah Amundrud,2012,,seagrass,,MO,,
10,,shoot density,Tsawwassen,Sarah Amundrud,2012,,seagrass,,MO,,
11,,shoot density,Tsawwassen,Sarah Amundrud,2012,,seagrass,,MO,,
12,,shoot density,Tsawwassen,Sarah Amundrud,2012,,seagrass,,MO,,
1,,epiphyte biomass,Tsawwassen,Sarah Amundrud,2012,,epiphytes,,MO,,
2,,epiphyte biomass,Tsawwassen,Sarah Amundrud,2012,,epiphytes,,MO,,
3,,epiphyte biomass,Tsawwassen,Sarah Amundrud,2012,,epiphytes,,MO,,
4,,epiphyte biomass,Tsawwassen,Sarah Amundrud,2012,,epiphytes,,MO,,
5,,epiphyte biomass,Tsawwassen,Sarah Amundrud,2012,,epiphytes,,MO,,
6,4.90797546,epiphyte biomass,Tsawwassen,Sarah Amundrud,2012,,epiphytes,,MO,,
7,10,epiphyte biomass,Tsawwassen,Sarah Amundrud,2012,,epiphytes,,MO,,
8,9.63190184,epiphyte biomass,Tsawwassen,Sarah Amundrud,2012,,epiphytes,,MO,,
9,,epiphyte biomass,Tsawwassen,Sarah Amundrud,2012,,epiphytes,,MO,,
10,,epiphyte biomass,Tsawwassen,Sarah Amundrud,2012,,epiphytes,,MO,,
11,,epiphyte biomass,Tsawwassen,Sarah Amundrud,2012,,epiphytes,,MO,,
12,,epiphyte biomass,Tsawwassen,Sarah Amundrud,2012,,epiphytes,,MO,,
1,,isopod density,Goodwin Islands,Douglass et al,1998,2007,grazer,,MO,,
2,,isopod density,Goodwin Islands,Douglass et al,1998,2007,grazer,,MO,,
3,2,isopod density,Goodwin Islands,Douglass et al,1998,2007,grazer,,MO,,
4,1,isopod density,Goodwin Islands,Douglass et al,1998,2007,grazer,,MO,,
5,10,isopod density,Goodwin Islands,Douglass et al,1998,2007,grazer,,MO,,
6,10,isopod density,Goodwin Islands,Douglass et al,1998,2007,grazer,,MO,,
7,4,isopod density,Goodwin Islands,Douglass et al,1998,2007,grazer,,MO,,
8,2,isopod density,Goodwin Islands,Douglass et al,1998,2007,grazer,,MO,,
9,,isopod density,Goodwin Islands,Douglass et al,1998,2007,grazer,,MO,,
10,1,isopod density,Goodwin Islands,Douglass et al,1998,2007,grazer,,MO,,
11,,isopod density,Goodwin Islands,Douglass et al,1998,2007,grazer,,MO,,
12,,isopod density,Goodwin Islands,Douglass et al,1998,2007,grazer,,MO,,
1,,fish density,Goodwin Islands,Douglass et al,2004,2006,predator,pipefish most abundant predator,MO,,
2,,fish density,Goodwin Islands,Douglass et al,2004,2006,predator,pipefish most abundant predator,MO,,
3,1,fish density,Goodwin Islands,Douglass et al,2004,2006,predator,pipefish most abundant predator,MO,,
4,2,fish density,Goodwin Islands,Douglass et al,2004,2006,predator,pipefish most abundant predator,MO,,
5,3,fish density,Goodwin Islands,Douglass et al,2004,2006,predator,pipefish most abundant predator,MO,,
6,10,fish density,Goodwin Islands,Douglass et al,2004,2006,predator,pipefish most abundant predator,MO,,
7,6,fish density,Goodwin Islands,Douglass et al,2004,2006,predator,pipefish most abundant predator,MO,,
8,2,fish density,Goodwin Islands,Douglass et al,2004,2006,predator,pipefish most abundant predator,MO,,
9,2,fish density,Goodwin Islands,Douglass et al,2004,2006,predator,pipefish most abundant predator,MO,,
10,1,fish density,Goodwin Islands,Douglass et al,2004,2006,predator,pipefish most abundant predator,MO,,
11,,fish density,Goodwin Islands,Douglass et al,2004,2006,predator,pipefish most abundant predator,MO,,
12,,fish density,Goodwin Islands,Douglass et al,2004,2006,predator,pipefish most abundant predator,MO,,
1,,shrimp density,Goodwin Islands,Douglass et al,2004,2006,predator,predators - palaemonetes,MO,,
2,,shrimp density,Goodwin Islands,Douglass et al,2004,2006,predator,predators - palaemonetes,MO,,
3,2,shrimp density,Goodwin Islands,Douglass et al,2004,2006,predator,predators - palaemonetes,MO,,
4,2,shrimp density,Goodwin Islands,Douglass et al,2004,2006,predator,predators - palaemonetes,MO,,
5,10,shrimp density,Goodwin Islands,Douglass et al,2004,2006,predator,predators - palaemonetes,MO,,
6,8,shrimp density,Goodwin Islands,Douglass et al,2004,2006,predator,predators - palaemonetes,MO,,
7,6,shrimp density,Goodwin Islands,Douglass et al,2004,2006,predator,predators - palaemonetes,MO,,
8,,shrimp density,Goodwin Islands,Douglass et al,2004,2006,predator,predators - palaemonetes,MO,,
9,2,shrimp density,Goodwin Islands,Douglass et al,2004,2006,predator,predators - palaemonetes,MO,,
10,2,shrimp density,Goodwin Islands,Douglass et al,2004,2006,predator,predators - palaemonetes,MO,,
11,,shrimp density,Goodwin Islands,Douglass et al,2004,2006,predator,predators - palaemonetes,MO,,
12,,shrimp density,Goodwin Islands,Douglass et al,2004,2006,predator,predators - palaemonetes,MO,,
1,1,amphipod density,Goodwin Islands,Douglass et al,1998,2007,grazer,ampithoe longimana,MO,,
2,,amphipod density,Goodwin Islands,Douglass et al,1998,2007,grazer,ampithoe longimana,MO,,
3,2,amphipod density,Goodwin Islands,Douglass et al,1998,2007,grazer,ampithoe longimana,MO,,
4,2,amphipod density,Goodwin Islands,Douglass et al,1998,2007,grazer,ampithoe longimana,MO,,
5,2,amphipod density,Goodwin Islands,Douglass et al,1998,2007,grazer,ampithoe longimana,MO,,
6,3,amphipod density,Goodwin Islands,Douglass et al,1998,2007,grazer,ampithoe longimana,MO,,
7,10,amphipod density,Goodwin Islands,Douglass et al,1998,2007,grazer,ampithoe longimana,MO,,
8,8,amphipod density,Goodwin Islands,Douglass et al,1998,2007,grazer,ampithoe longimana,MO,,
9,,amphipod density,Goodwin Islands,Douglass et al,1998,2007,grazer,ampithoe longimana,MO,,
10,2,amphipod density,Goodwin Islands,Douglass et al,1998,2007,grazer,ampithoe longimana,MO,,
11,3,amphipod density,Goodwin Islands,Douglass et al,1998,2007,grazer,ampithoe longimana,MO,,
12,,amphipod density,Goodwin Islands,Douglass et al,1998,2007,grazer,ampithoe longimana,MO,,
1,,shoot density,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
2,,shoot density,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
3,,shoot density,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
4,10,shoot density,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
5,,shoot density,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
6,5,shoot density,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
7,,shoot density,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
8,4,shoot density,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
9,,shoot density,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
10,3,shoot density,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
11,,shoot density,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
12,,shoot density,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
1,,epiphyte biomass,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
2,,epiphyte biomass,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
3,,epiphyte biomass,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
4,,epiphyte biomass,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
5,,epiphyte biomass,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
6,7,epiphyte biomass,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
7,,epiphyte biomass,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
8,10,epiphyte biomass,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
9,,epiphyte biomass,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
10,7,epiphyte biomass,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
11,,epiphyte biomass,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
12,,epiphyte biomass,San Francisco Bay - KB,Carr et al 2010,2007,,seagrass,3 of 5 sites followed this pattern; vegetative only,MO,,
1,,grazer abundance,San Francisco Bay - KB,Carr et al 2010,2007,,grazer,,MO,,
2,,grazer abundance,San Francisco Bay - KB,Carr et al 2010,2007,,grazer,,MO,,
3,,grazer abundance,San Francisco Bay - KB,Carr et al 2010,2007,,grazer,,MO,,
4,1,grazer abundance,San Francisco Bay - KB,Carr et al 2010,2007,,grazer,,MO,,
5,,grazer abundance,San Francisco Bay - KB,Carr et al 2010,2007,,grazer,,MO,,
6,2,grazer abundance,San Francisco Bay - KB,Carr et al 2010,2007,,grazer,,MO,,
7,,grazer abundance,San Francisco Bay - KB,Carr et al 2010,2007,,grazer,,MO,,
8,8,grazer abundance,San Francisco Bay - KB,Carr et al 2010,2007,,grazer,,MO,,
9,,grazer abundance,San Francisco Bay - KB,Carr et al 2010,2007,,grazer,,MO,,
10,10,grazer abundance,San Francisco Bay - KB,Carr et al 2010,2007,,grazer,,MO,,
11,,grazer abundance,San Francisco Bay - KB,Carr et al 2010,2007,,grazer,,MO,,
12,,grazer abundance,San Francisco Bay - KB,Carr et al 2010,2007,,grazer,,MO,,
1,,seagrass biomass,BodegaHarbor,Best and Stachowicz,2014,,seagrass,,MO,,
2,,seagrass biomass,BodegaHarbor,Best and Stachowicz,2014,,seagrass,,MO,,
3,6,seagrass biomass,BodegaHarbor,Best and Stachowicz,2014,,seagrass,,MO,,
4,,seagrass biomass,BodegaHarbor,Best and Stachowicz,2014,,seagrass,,MO,,
5,7,seagrass biomass,BodegaHarbor,Best and Stachowicz,2014,,seagrass,,MO,,
6,,seagrass biomass,BodegaHarbor,Best and Stachowicz,2014,,seagrass,,MO,,
7,10,seagrass biomass,BodegaHarbor,Best and Stachowicz,2014,,seagrass,,MO,,
8,,seagrass biomass,BodegaHarbor,Best and Stachowicz,2014,,seagrass,,MO,,
9,8,seagrass biomass,BodegaHarbor,Best and Stachowicz,2014,,seagrass,,MO,,
10,,seagrass biomass,BodegaHarbor,Best and Stachowicz,2014,,seagrass,,MO,,
11,,seagrass biomass,BodegaHarbor,Best and Stachowicz,2014,,seagrass,,MO,,
12,6,seagrass biomass,BodegaHarbor,Best and Stachowicz,2014,,seagrass,,MO,,
1,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,epiphytes,,MO,,
2,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,epiphytes,,MO,,
3,8,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,epiphytes,,MO,,
4,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,epiphytes,,MO,,
5,10,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,epiphytes,,MO,,
6,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,epiphytes,,MO,,
7,4,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,epiphytes,,MO,,
8,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,epiphytes,,MO,,
9,8,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,epiphytes,,MO,,
10,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,epiphytes,,MO,,
11,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,epiphytes,,MO,,
12,2,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,epiphytes,,MO,,
1,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,grazer,,MO,,
2,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,grazer,,MO,,
3,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,grazer,,MO,,
4,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,grazer,,MO,,
5,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,grazer,,MO,,
6,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,grazer,,MO,,
7,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,grazer,,MO,,
8,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,grazer,,MO,,
9,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,grazer,,MO,,
10,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,grazer,,MO,,
11,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,grazer,,MO,,
12,,epiphyte biomass,BodegaHarbor,Best and Stachowicz,2014,,grazer,,MO,,
1,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
2,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
3,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
4,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
5,10,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
6,8,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
7,5,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
8,4,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
9,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
10,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
11,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
12,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
1,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
2,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
3,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
4,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
5,10,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
6,8,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
