rownum,month,relative.value,variable,site,ref,year.start,year.end,trophic.grp,notes,data.entered.by,X11,X12
49,1,NA,Amphipods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
50,2,NA,Amphipods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
51,3,0.125186289,Amphipods,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,16.8,count
52,4,NA,Amphipods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
53,5,0.084947839,Amphipods,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,11.4,count
54,6,NA,Amphipods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
55,7,0.515648286,Amphipods,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,69.2,count
56,8,NA,Amphipods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
57,9,0.300484352,Amphipods,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,40.325,count
58,10,NA,Amphipods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
59,11,NA,Amphipods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
60,12,0.110283159,Amphipods,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.8,count
61,1,NA,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
62,2,NA,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
63,3,0.124361194,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
64,4,NA,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
65,5,0.403550301,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
66,6,NA,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
67,7,0.285140218,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
68,8,NA,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
69,9,0.115225741,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
70,10,NA,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
71,11,NA,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
72,12,0.045248567,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.280540719,mg/cm2
73,1,NA,Epiphyte_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
74,2,NA,Epiphyte_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
75,3,0.016786353,Epiphyte_biomass,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.104075242,mg/cm2
76,4,NA,Epiphyte_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
77,5,0.292282142,Epiphyte_biomass,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,1.812146736,mg/cm2
78,6,NA,Epiphyte_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
79,7,0.058155598,Epiphyte_biomass,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.360564201,mg/cm2
80,8,NA,Epiphyte_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
81,9,0.128574428,Epiphyte_biomass,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.797160335,mg/cm2
82,10,NA,Epiphyte_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
83,11,NA,Epiphyte_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
84,12,0.055726541,Epiphyte_biomass,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.345504069,mg/cm2
85,1,NA,Epiphyte_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
86,2,NA,Epiphyte_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
87,3,0.027898681,Epiphyte_biomass,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.172971579,mg/cm2
88,4,NA,Epiphyte_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
89,5,0.630712653,Epiphyte_biomass,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,3.910412963,mg/cm2
90,6,NA,Epiphyte_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
91,7,0.256032619,Epiphyte_biomass,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,1.58740001,mg/cm2
92,8,NA,Epiphyte_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
93,9,0.065012531,Epiphyte_biomass,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.403077129,mg/cm2
94,10,NA,Epiphyte_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
95,11,NA,Epiphyte_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
96,12,0.031420881,Epiphyte_biomass,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.194809192,mg/cm2
97,1,NA,Epiphyte_biomass,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
98,2,NA,Epiphyte_biomass,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
99,3,1,Epiphyte_biomass,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,6.199991304,mg/cm2
100,4,NA,Epiphyte_biomass,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
101,5,0.554938968,Epiphyte_biomass,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,3.440616777,mg/cm2
102,6,NA,Epiphyte_biomass,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
103,7,0.037617789,Epiphyte_biomass,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.233229963,mg/cm2
104,8,NA,Epiphyte_biomass,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
105,9,0.204744395,Epiphyte_biomass,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,1.269413466,mg/cm2
106,10,NA,Epiphyte_biomass,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
107,11,NA,Epiphyte_biomass,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
108,12,0.01564852,Epiphyte_biomass,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.097020689,mg/cm2
109,1,NA,Epiphyte_biomass,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
110,2,NA,Epiphyte_biomass,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
111,3,0.479012666,Epiphyte_biomass,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,2.969874364,mg/cm2
112,4,NA,Epiphyte_biomass,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
113,5,0.517968856,Epiphyte_biomass,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,3.211402404,mg/cm2
114,6,NA,Epiphyte_biomass,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
115,7,0.041204977,Epiphyte_biomass,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.255470497,mg/cm2
116,8,NA,Epiphyte_biomass,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
117,9,0.143768786,Epiphyte_biomass,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.891365225,mg/cm2
118,10,NA,Epiphyte_biomass,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
119,11,NA,Epiphyte_biomass,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
120,12,0.05494649,Epiphyte_biomass,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.34066776,mg/cm2
121,1,0.625,Epiphyte_biomass,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,epiphytes,g dy / m2 leaf area,MO,NA,NA
122,2,6.382978723,Epiphyte_biomass,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,epiphytes,g dy / m2 leaf area,MO,NA,NA
123,3,NA,Epiphyte_biomass,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,epiphytes,g dy / m2 leaf area,MO,NA,NA
124,4,10,Epiphyte_biomass,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,epiphytes,g dy / m2 leaf area,MO,NA,NA
125,5,6.382978723,Epiphyte_biomass,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,epiphytes,g dy / m2 leaf area,MO,NA,NA
126,6,2.553191489,Epiphyte_biomass,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,epiphytes,g dy / m2 leaf area,MO,NA,NA
127,7,2.553191489,Epiphyte_biomass,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,epiphytes,g dy / m2 leaf area,MO,NA,NA
128,8,3.191489362,Epiphyte_biomass,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,epiphytes,g dy / m2 leaf area,MO,NA,NA
129,9,NA,Epiphyte_biomass,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,epiphytes,g dy / m2 leaf area,MO,NA,NA
130,10,1.063829787,Epiphyte_biomass,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,epiphytes,g dy / m2 leaf area,MO,NA,NA
131,11,1.063829787,Epiphyte_biomass,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,epiphytes,g dy / m2 leaf area,MO,NA,NA
132,12,NA,Epiphyte_biomass,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,epiphytes,g dy / m2 leaf area,MO,NA,NA
133,1,NA,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
134,2,NA,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
135,3,0.14953271,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
136,4,NA,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
137,5,0.068535826,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
138,6,NA,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
139,7,0.336448598,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
140,8,NA,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
141,9,0.364485981,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
142,10,NA,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
143,11,NA,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
144,12,0.504672897,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,16.2,count
145,1,NA,Isopods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
146,2,NA,Isopods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
147,3,0.641744548,Isopods,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,20.6,count
148,4,NA,Isopods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
149,5,0.249221184,Isopods,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,8,count
150,6,NA,Isopods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
151,7,0.417445483,Isopods,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,13.4,count
152,8,NA,Isopods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
153,9,1,Isopods,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,32.1,count
154,10,NA,Isopods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
155,11,NA,Isopods,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
156,12,0.92211838,Isopods,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,29.6,count
157,1,NA,Isopods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
158,2,NA,Isopods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
159,3,0.018691589,Isopods,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.6,count
160,4,NA,Isopods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
161,5,0.024922118,Isopods,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.8,count
162,6,NA,Isopods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
163,7,0.161993769,Isopods,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,5.2,count
164,8,NA,Isopods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
165,9,0.152647975,Isopods,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.9,count
166,10,NA,Isopods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
167,11,NA,Isopods,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
168,12,0.118380062,Isopods,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,3.8,count
169,1,NA,Isopods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
170,2,NA,Isopods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
171,3,0.012461059,Isopods,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.4,count
172,4,NA,Isopods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
173,5,0.00623053,Isopods,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.2,count
174,6,NA,Isopods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
175,7,0.074766355,Isopods,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,2.4,count
176,8,NA,Isopods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
177,9,0.183800623,Isopods,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,5.9,count
178,10,NA,Isopods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
179,11,NA,Isopods,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
180,12,0.199376947,Isopods,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,6.4,count
181,1,NA,Isopods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
182,2,NA,Isopods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
183,3,0.012461059,Isopods,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.4,count
184,4,NA,Isopods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
185,5,0.012461059,Isopods,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.4,count
186,6,NA,Isopods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
187,7,0.093457944,Isopods,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,3,count
188,8,NA,Isopods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
189,9,0.143302181,Isopods,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.6,count
190,10,NA,Isopods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
191,11,NA,Isopods,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
192,12,0.068535826,Isopods,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,2.2,count
193,1,7.75,LAI,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,seagrass,NA,MO,NA,NA
194,2,2.5,LAI,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,seagrass,NA,MO,NA,NA
195,3,NA,LAI,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,seagrass,NA,MO,NA,NA
196,4,4,LAI,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,seagrass,NA,MO,NA,NA
197,5,4,LAI,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,seagrass,NA,MO,NA,NA
198,6,5.625,LAI,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,seagrass,NA,MO,NA,NA
199,7,7.75,LAI,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,seagrass,NA,MO,NA,NA
200,8,10,LAI,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,seagrass,NA,MO,NA,NA
201,9,NA,LAI,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,seagrass,NA,MO,NA,NA
202,10,5.625,LAI,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,seagrass,NA,MO,NA,NA
203,11,6.875,LAI,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,seagrass,NA,MO,NA,NA
204,12,NA,LAI,"Otsuchi Bay, Japan",Nakaoka et al 2001,1995,1996,seagrass,NA,MO,NA,NA
205,1,NA,Macrophyte_consumers,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
206,2,NA,Macrophyte_consumers,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
207,3,0.239808153,Macrophyte_consumers,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,10,count
208,4,NA,Macrophyte_consumers,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
209,5,0.119904077,Macrophyte_consumers,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,5,count
210,6,NA,Macrophyte_consumers,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
